"","y","x","expert","NDAI","SD","CORR","DF","CF","BF","AF","AN"
"4906",177,255,-1,-1.04905423666667,0.591713633333333,0.169070878888889,298.435396666667,282.508564444444,265.711832222222,236.00393,212.059237777778
"4907",180,255,-1,-0.599355488888889,0.848739884444444,0.16792715,298.268158888889,284.394237777778,267.234114444444,236.353126666667,212.677621111111
"4908",183,255,-1,-0.764299862222222,0.885746202222222,0.169851634444444,300.55118,284.677602222222,266.153875555556,236.541236666667,213.359156666667
"4909",186,255,-1,-0.68714079,0.636101055555556,0.168821934444444,300.71681,284.433298888889,266.163513333333,236.813638888889,213.807624444444
"4910",189,255,-1,-0.823719722222222,0.74152547,0.168834405555556,301.513404444444,284.699541111111,266.61599,237.654385555556,214.430292222222
"4911",192,255,-1,-0.915526821111111,0.700747315555556,0.169630764444444,302.006828888889,285.69736,267.610061111111,238.11436,214.52796
"4912",195,255,-1,-0.92722822,0.822393135555556,0.169299627777778,302.918491111111,286.765287777778,268.291863333333,238.57139,215.136975555556
"4913",198,255,-1,-0.841238701111111,0.55778213,0.17117966,303.648446666667,286.839407777778,268.692443333333,238.960187777778,214.834073333333
"4914",201,255,-1,-1.12415357222222,0.701507601111111,0.172193711111111,304.029487777778,288.252246666667,269.847064444444,239.094251111111,214.670314444444
"4915",204,255,-1,-0.885839577777778,0.780741111111111,0.173084655555556,305.944313333333,290.176973333333,270.95165,239.850438888889,215.525511111111
"4916",207,255,-1,-0.559156253333333,0.900652261111111,0.177420615555556,308.300658888889,292.258496666667,272.541626666667,240.374096666667,215.516947777778
"4917",210,255,-1,-0.570349923333333,1.05994817111111,0.179328814444444,311.290628888889,292.898562222222,271.637467777778,240.573716666667,216.551156666667
"4918",213,255,-1,-0.560016781111111,0.971320222222222,0.179113393333333,310.56361,291.130904444444,270.22676,239.452005555556,216.506736666667
"4919",216,255,-1,-0.98931463,1.22996038888889,0.172508647777778,308.244736666667,288.093032222222,269.314574444444,240.138893333333,217.487161111111
"4920",219,255,-1,-1.16666202222222,0.790934412222222,0.168905486666667,305.967865555556,287.810194444444,269.299854444444,240.254216666667,217.501344444444
"4921",222,255,-1,-1.12522527777778,0.886974501111111,0.167843263333333,305.109727777778,287.049191111111,268.947184444444,239.889236666667,217.398858888889
"4922",225,255,-1,-1.17073303333333,0.890999038888889,0.165077402222222,303.761905555556,285.993571111111,268.141486666667,239.670086666667,217.538002222222
