"","y","x","expert","NDAI","SD","CORR","DF","CF","BF","AF","AN"
"1",315,69,1,2.04029203333333,8.1260628,0.139346452777778,232.145374444444,197.307902222222,190.561057777778,181.024924444444,174.749293333333
"2",318,69,1,2.26714968888889,7.0531363,0.119590961888889,224.701478888889,201.754872222222,190.824093333333,182.063683333333,172.62254
"3",321,69,1,2.12799028888889,6.45657586666667,0.107976537444444,216.235407777778,199.756555555556,191.514994444444,182.934397777778,170.218573333333
"4",324,69,1,1.9858982,6.79579066666667,0.121970260555556,213.593558888889,188.442062222222,177.275546666667,162.881167777778,151.920955555556
"5",327,69,1,2.53428062222222,9.36547618888889,0.146125808444444,200.712901111111,173.622764444444,154.956691111111,141.844841111111,125.481851888889
"6",330,69,1,1.49009146333333,7.02332513333333,0.218501293333333,177.627687777778,144.848463333333,120.089247777778,109.969248888889,100.842248222222
"7",333,69,1,1.15454498555556,4.23458093333333,0.199115914444444,159.958356666667,123.511638888889,114.263155555556,108.483357777778,104.649689777778
"8",336,69,1,1.58954267777778,5.52306116666667,0.131572000222222,159.231063333333,129.947818888889,123.515114444444,120.327664444444,119.296128888889
"9",339,69,1,1.43852747777778,6.74994076666667,0.096921121,156.439371111111,141.826111111111,138.454564444444,138.136401111111,139.693736666667
"10",342,69,1,1.09557962444444,3.82779616666667,0.0871122371111111,165.827528888889,156.134326666667,156.099003333333,157.971284444444,153.291785555556
"11",345,69,1,0.5622283,2.53515712222222,0.0773122757777778,180.212005555556,169.449534444444,176.180593333333,170.953887777778,161.819131111111
"12",348,69,1,0.873182845555555,4.5360148,0.0975256725555556,187.735911111111,187.60426,191.288617777778,180.39637,168.163801111111
"13",351,69,1,1.20511738888889,5.73280292222222,0.101549115,197.416278888889,207.90019,201.500932222222,188.439655555556,180.393427777778
"14",354,69,1,1.44509376666667,5.35026372222222,0.106353843333333,216.115264444444,219.711048888889,211.165776666667,201.358311111111,194.724387777778
"15",120,72,1,3.51902257777778,41.2799758888889,-0.0835985567777778,192.438956666667,144.570175555556,178.730663333333,197.106144444444,197.125946666667
"16",303,72,1,2.59729902222222,16.9226118111111,0.211677372222222,260.917003333333,205.685671111111,178.34722,166.280014444444,154.725766666667
"17",306,72,1,2.65366457777778,20.9917872222222,0.228558693333333,242.494966666667,174.272994444444,150.124405555556,139.329558888889,132.132103333333
"18",309,72,1,2.52105896666667,16.0650215222222,0.143987012666667,212.307824444444,160.420207777778,149.854947777778,150.853838888889,149.426008888889
"19",312,72,1,1.91562222222222,8.84489637777778,0.0773799042222222,196.721894444444,169.672434444444,170.570975555556,168.824463333333,164.619925555556
"20",315,72,1,1.6633994,5.46492248888889,0.0982421706666667,195.454356666667,183.998307777778,182.779197777778,177.644812222222,170.198773333333
"21",318,72,1,1.80070755555556,4.04204765555556,0.114414970222222,202.11477,194.787003333333,189.464501111111,179.723133333333,167.86491
"22",321,72,1,1.83867901111111,5.49748468888889,0.126257145555556,210.652014444444,190.257351111111,181.441017777778,166.385974444444,152.765451111111
"23",324,72,1,1.83145088888889,4.24282504444444,0.166813617777778,201.349215555556,182.922896666667,162.144782222222,146.266925555556,134.798302222222
"24",327,72,1,1.92552183333333,7.17050862222222,0.269377935555556,191.525162222222,168.605048888889,140.915258888889,126.132077777778,113.190147777778
"25",330,72,1,1.05498418777778,8.18376536666667,0.291625938888889,194.29304,146.221698888889,126.414652222222,111.348371111111,104.156534444444
"26",333,72,1,1.6043641,6.84481117777778,0.209367687777778,188.911943333333,140.951111111111,124.37727,117.020602222222,114.26289
"27",336,72,1,2.00567481111111,4.41117293333333,0.163387333333333,175.459191111111,144.409358888889,135.749293333333,131.170407777778,132.976595555556
"28",339,72,1,1.65585152222222,3.97800262222222,0.097558482,178.581085555556,155.298126666667,151.05961,151.390877777778,152.635406666667
"29",342,72,1,0.859731912222222,5.1198766,0.0853879577777778,181.435131111111,167.305924444444,170.84873,170.602022222222,161.204225555556
"30",345,72,1,0.894014642222222,7.22391171111111,0.0714848428888889,191.008725555556,183.513448888889,190.336822222222,179.716978888889,167.333222222222
"31",348,72,1,0.918766907777778,8.66096443333333,0.103025329555556,198.821622222222,204.445422222222,201.595661111111,185.066771111111,174.304035555556
"32",351,72,1,1.19308029777778,6.12560745555556,0.131489752222222,215.14822,219.639607777778,205.742664444444,193.784366666667,185.2316
"33",354,72,1,1.37137036666667,3.50271515555556,0.121625448888889,235.669182222222,226.693634444444,214.052196666667,205.084675555556,197.742993333333
"34",357,72,1,1.72379293333333,2.23134666666667,0.0890342078888889,249.888292222222,230.223325555556,223.613212222222,218.990983333333,217.624434444444
"35",360,72,1,1.59367783333333,1.76749171111111,0.0514471577777778,257.530471111111,236.217728888889,238.115691111111,241.493668888889,237.386263333333
"36",111,75,1,3.2108309,51.4921194444444,0.218806896888889,317.694434444444,201.232814444444,161.067225555556,170.64617,175.537325555556
"37",120,75,1,3.75310524444444,36.8553864444444,-0.11385928,169.731304444444,160.07342,182.079467777778,203.208651111111,214.394433333333
"38",297,75,1,2.71058785555556,16.804042,0.261162507777778,249.020255555556,203.927915555556,164.922832222222,146.262106666667,131.79682
"39",300,75,1,2.47574692222222,18.5154742222222,0.246535892222222,215.280135555556,163.855974444444,138.095464444444,128.232608888889,116.956384444444
"40",303,75,1,2.28122726666667,17.6771165555556,0.251106311111111,195.653701111111,137.659034444444,127.022596666667,117.326984444444,108.760575555556
"41",306,75,1,2.09618558888889,10.2864704555556,0.162286546888889,169.446327777778,132.964287777778,125.119012222222,115.705161111111,114.945492666667
"42",309,75,1,1.8784126,7.61736915555556,0.106086162111111,152.232423333333,144.709322222222,136.647836666667,135.024142222222,130.257948888889
"43",312,75,1,1.86400078888889,6.86506401111111,0.104271692444444,164.067901111111,161.191381111111,156.764484444444,151.56882,148.196465555556
"44",315,75,1,1.67978007777778,3.75038691111111,0.0932337731111111,186.577811111111,177.876807777778,173.908813333333,169.420907777778,164.20678
"45",318,75,1,1.78797298888889,4.45074228888889,0.133173944111111,202.723522222222,185.448611111111,181.383218888889,172.290204444444,154.736202222222
"46",321,75,1,1.7969286,6.53408845555556,0.189064333333333,204.760633333333,191.276573333333,181.949696666667,156.253935555556,139.13101
"47",324,75,1,1.47476267777778,8.60202011111111,0.277045245555556,203.525204444444,196.869066666667,161.608007777778,136.586295555556,123.040692222222
"48",327,75,1,1.20848005777778,8.29460066666667,0.33097031,218.683261111111,188.38641,143.585736666667,123.701622222222,113.659222222222
"49",330,75,1,1.43738945555556,9.846477,0.319289741111111,224.966918888889,165.4382,132.747541111111,122.278613333333,116.569991111111
"50",333,75,1,1.61059318888889,8.2929749,0.228456897777778,225.10446,153.473476666667,140.514147777778,132.5985,129.516207777778
"51",336,75,1,1.67583418888889,5.21377712222222,0.133031313333333,206.16598,159.466808888889,153.999545555556,148.274064444444,146.996623333333
"52",339,75,1,0.951021873222222,6.72974777777778,0.0954821572222222,192.780658888889,176.588124444444,169.893992222222,165.935897777778,161.323034444444
"53",342,75,1,0.0567905083333333,6.41413765555556,0.117759194,198.233475555556,186.311568888889,184.765468888889,178.032272222222,164.841216666667
"54",345,75,1,0.2952308914,5.47333064444444,0.136728897777778,211.570361111111,200.310992222222,197.728813333333,182.221824444444,168.017162222222
"55",348,75,1,0.909585781111111,4.56364797777778,0.143085154444444,221.752173333333,213.737522222222,203.13881,186.371238888889,175.34868
"56",351,75,1,1.07055796666667,3.52135585555556,0.13829617,231.872974444444,223.719711111111,207.180656666667,193.907455555556,186.624907777778
"57",354,75,1,1.34168765555556,2.25148755555556,0.126237232222222,243.424546666667,227.133544444444,214.25476,206.338837777778,199.947076666667
"58",357,75,1,1.63520586666667,1.50610211333333,0.0864553153333333,254.576086666667,231.762733333333,226.019595555556,222.478663333333,218.113578888889
"59",360,75,1,1.55979633333333,1.9832943,0.0530595187777778,259.939521111111,239.23098,243.281121111111,245.028974444444,235.989212222222
"60",294,78,1,2.67689538888889,9.93788563333333,0.201158503333333,218.439761111111,203.315147777778,184.387108888889,163.10915,150.716028888889
"61",297,78,1,2.03842344444444,15.7912786222222,0.295244494444444,226.818863333333,177.808306666667,138.651232222222,125.340302222222,113.541215555556
"62",300,78,1,1.63321751111111,8.29878814444444,0.253955837777778,191.467894444444,135.786753333333,125.026962222222,113.251156666667,102.023628111111
